# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	42928
#@/user_id	ab7a14e5-ae21-41f1-b36e-b856550d5341
a 	啊	c=63 d=0.402358 t=42928
ce shi wan 	測試完	c=1 d=1.76209e-47 t=42928
ce shi yong 	測試用	c=1 d=4.15604e-83 t=42928
ce shi zhong 	測試中	c=1 d=7.10537e-10 t=42928
ce wan 	測完	c=1 d=3.69837e-35 t=42928
ce wan le 	測完了	c=1 d=3.71691e-34 t=42928
ceng 	層	c=3 d=6.74828e-21 t=42928
ceng ji 	層級	c=1 d=1.56145e-66 t=42928
ceng mian 	層面	c=2 d=1.16002e-11 t=42928
cha 	差	c=2 d=2.64469e-30 t=42928
cha 	插	c=2 d=1.3313e-44 t=42928
cha 	查	c=58 d=0.00349901 t=42928
cha 	茬	c=1 d=1 t=41744
cha bie 	差別	c=2 d=2.42035e-37 t=42928
cha bu chu 	查不出	c=1 d=1.76043e-83 t=42928
cha bu chu lai 	查不出來	c=1 d=3.00285e-83 t=42928
cha bu dao 	查不到	c=3 d=9.33823e-19 t=42928
cha bu duo 	差不多	c=6 d=2.94618e-06 t=42928
cha bu tai duo 	插不太多	c=1 d=1.33798e-43 t=42928
cha chu lai 	查出來	c=2 d=7.96836e-35 t=42928
cha dao 	查到	c=9 d=4.77276e-05 t=42928
cha guo le 	查過了	c=1 d=1.42832e-47 t=42928
cha jian 	插件	c=8 d=1.45512e-27 t=42928
cha ju 	差距	c=2 d=1.69276e-16 t=42928
cha kan 	查看	c=7 d=5.58833e-08 t=42928
cha le 	差了	c=1 d=2.68457e-59 t=42928
cha le 	查了	c=8 d=0.895834 t=42928
cha ri zhi 	查日誌	c=1 d=9.1992e-19 t=42928
cha ru 	插入	c=3 d=3.03324e-81 t=42928
cha shou 	查收	c=1 d=1.2254e-09 t=42928
cha wen ti 	查問題	c=1 d=1 t=40911
cha xia 	插下	c=1 d=7.37476e-36 t=42928
cha xie 	差些	c=1 d=1.35746e-66 t=42928
cha xun 	查詢	c=40 d=0.0346102 t=42928
cha xun de 	查詢的	c=1 d=3.62256e-55 t=42928
cha yi 	差異	c=2 d=9.88671e-14 t=42928
cha yi xia 	查一下	c=3 d=7.41173e-36 t=42928
cha zhao 	查找	c=5 d=3.32521e-18 t=42928
cha zhi 	差值	c=1 d=5.48776e-59 t=42928
chai 	拆	c=1 d=1.07134e-46 t=42928
chan chu 	產出	c=1 d=1.65829e-68 t=42928
chan pin 	產品	c=52 d=1.08311e-07 t=42928
chan sheng 	產生	c=2 d=3.91002e-71 t=42928
chang 	長	c=3 d=0.000112812 t=42928
chang an 	長按	c=2 d=1.23996e-08 t=42928
chang ba 	唱吧	c=1 d=1.27497e-05 t=42928
chang du 	長度	c=3 d=2.50316e-30 t=42928
chang duan 	長短	c=1 d=2.31071e-30 t=42928
chang ge 	唱歌	c=1 d=1.28779e-05 t=42928
chang jing 	場景	c=27 d=0.0340641 t=42928
chang jiu 	長久	c=1 d=2.41837e-07 t=42928
chang lian 	長鏈	c=1 d=1.50467e-42 t=42928
chang lian jie 	長連接	c=1 d=1.31278e-84 t=42928
chang liang 	常量	c=1 d=1.19019e-19 t=42928
chang liang 	敞亮	c=1 d=2.33346e-57 t=42928
chang lv 	常呂	c=1 d=1.85485e-24 t=42928
chang lv cun 	常呂村	c=1 d=1.70241e-24 t=42928
chang ping 	昌平	c=1 d=2.71588e-19 t=42928
chang ping qu 	昌平區	c=3 d=4.99754e-17 t=42928
chang qi 	長期	c=1 d=3.51812e-05 t=42928
chang shi 	嘗試	c=4 d=0.0163259 t=42928
chang tuo 	昌佗	c=15 d=0.839457 t=42928
chang tuo 	長拖	c=1 d=3.66644e-79 t=42928
chang wei bo 	長微博	c=1 d=1.09757e-07 t=42928
chang wen 	長文	c=2 d=3.80841e-26 t=42928
chang yong 	常用	c=6 d=5.54705e-09 t=42928
chang yong zi 	常用字	c=0 d=1.61625e-61 t=42928
chang yuan 	長遠	c=2 d=4.43261e-18 t=42928
chao 	超	c=4 d=0.0572688 t=42928
chao guo 	超過	c=9 d=0.194288 t=42928
chao hua 	超話	c=178 d=0.00249118 t=42928
chao hua ci 	超話詞	c=6 d=1.52854e-50 t=42928
chao hua de 	超話的	c=1 d=3.89607e-29 t=42928
chao hua fen lei 	超話分類	c=2 d=1.24434e-13 t=42928
chao hua tie 	超話貼	c=1 d=7.59652e-61 t=42928
chao ji 	超級	c=1 d=1.87857e-06 t=42928
chao shi 	超市	c=2 d=4.27038e-20 t=42928
chao shi 	超時	c=21 d=0.17552 t=42928
chao shi de 	超時的	c=1 d=2.53262e-50 t=42928
che 	撤	c=1 d=1.22136e-29 t=42928
che 	車	c=7 d=0.00160165 t=42928
che le 	撤了	c=3 d=1.28866e-13 t=42928
che pai 	車牌	c=5 d=3.16881e-16 t=42928
che shang 	車上	c=2 d=1.94277e-19 t=42928
che shi lin 	車世林	c=1 d=8.68119e-43 t=42928
che tuan 	撤団	c=1 d=1.24858e-53 t=42928
che tui 	撤退	c=1 d=3.97693e-06 t=42928
che you 	車友	c=0 d=4.23941e-53 t=42928
che you qun 	車友羣	c=1 d=4.26066e-52 t=42928
chen 	陳	c=3 d=9.02959e-67 t=42928
chen wu 	陳武	c=4 d=1.03223e-08 t=42928
chen yang 	晨楊	c=11 d=6.16226e-40 t=42928
cheng 	成	c=27 d=0.00711739 t=42928
cheng 	橙	c=2 d=2.40337e-22 t=42928
cheng 	程	c=1 d=3.42509e-72 t=42928
cheng ben 	成本	c=10 d=1.51881e-05 t=42928
cheng dan 	承擔	c=1 d=7.23758e-21 t=42928
cheng du 	程度	c=2 d=6.5727e-05 t=42928
cheng gong 	成功	c=16 d=4.2622e-08 t=42928
cheng guo 	成果	c=2 d=0.0241131 t=42928
cheng jiao jia 	成交價	c=2 d=0.00113061 t=42928
cheng xu 	程序	c=4 d=1.0578e-23 t=42928
cheng xu yuan 	程序員	c=2 d=2.25449e-05 t=42928
cheng zhong 	程鍾	c=2 d=1.7649e-07 t=42928
chi 	吃	c=11 d=0.000217142 t=42928
chi 	池	c=1 d=2.42876e-28 t=42928
chi 	赤	c=1 d=1.24236e-53 t=42928
chi ba 	吃吧	c=1 d=1.44818e-33 t=42928
chi de 	吃得	c=1 d=7.86896e-05 t=42928
chi de 	吃的	c=1 d=1 t=40079
chi fan 	吃飯	c=8 d=1.08927e-06 t=42928
chi kui 	吃虧	c=1 d=1.19922e-49 t=42928
chi le 	吃了	c=2 d=0.000108787 t=42928
chi le dun 	吃了頓	c=1 d=2.47917e-05 t=42928
chi mian 	吃麪	c=0 d=8.61999e-49 t=42928
chi mian tiao 	吃麪條	c=1 d=8.6632e-48 t=42928
chi wan fan 	吃完飯	c=2 d=3.39676e-61 t=42928
chi xu 	持續	c=1 d=7.5617e-07 t=42928
chi xu dao 	持續到	c=1 d=7.35596e-06 t=42928
chong 	衝	c=1 d=4.78496e-35 t=42928
chong bai 	崇拜	c=1 d=2.73796e-26 t=42928
chong dian 	充電	c=1 d=1.53668e-25 t=42928
chong dian qi 	充電器	c=1 d=1.45445e-25 t=42928
chong dong 	衝動	c=0 d=1.26203e-33 t=42928
chong dong xiao fei 	衝動消費	c=1 d=1.26836e-32 t=42928
chong fu 	重複	c=15 d=7.7872e-08 t=42928
chong fu de 	重複的	c=1 d=6.09863e-36 t=42928
chong fu du 	重複度	c=1 d=8.61881e-17 t=42928
chong he 	重合	c=1 d=2.4037e-53 t=42928
chong le 	充了	c=1 d=4.48293e-62 t=42928
chong lian 	重連	c=2 d=2.7364e-84 t=42928
chong ming ming 	重命名	c=1 d=1 t=40546
chong qi 	重啓	c=23 d=0.547919 t=42928
chong shi 	重試	c=3 d=0.00408344 t=42928
chong tu 	衝突	c=2 d=3.92962e-71 t=42928
chong tui 	重推	c=4 d=4.63248e-35 t=42928
chong xie 	重寫	c=1 d=3.202e-15 t=42928
chong xin 	重新	c=25 d=5.56785e-06 t=42928
chou chu lai 	抽出來	c=1 d=1.03608e-64 t=42928
chou chu qu 	抽出去	c=1 d=1.48758e-84 t=42928
chou ji 	籌集	c=1 d=4.38459e-07 t=42928
chou shi jian 	抽時間	c=1 d=1.32746e-09 t=42928
chou shi jian kan xia 	抽時間看下	c=1 d=1.15813e-80 t=42928
chou xiang 	抽象	c=5 d=1.97859e-28 t=42928
chou zhen tu 	抽幀圖	c=2 d=7.32341e-43 t=42928
chou zhi 	抽紙	c=1 d=2.19033e-77 t=42928
chu 	出	c=17 d=0.00205535 t=42928
chu 	除	c=1 d=2.70078e-71 t=42928
chu ban 	初版	c=2 d=0.0480747 t=42928
chu bu 	初步	c=2 d=3.60399e-24 t=42928
chu cai 	出彩	c=1 d=8.39886e-07 t=42928
chu chai 	出差	c=1 d=1 t=40997
chu fa 	出發	c=1 d=8.03065e-09 t=42928
chu fa 	處罰	c=2 d=7.9906e-09 t=42928
chu fa 	觸發	c=1 d=2.1608e-35 t=42928
chu fang 	廚房	c=0 d=4.31095e-44 t=42928
chu fei 	除非	c=1 d=4.85315e-25 t=42928
chu guo 	出過	c=1 d=1 t=39975
chu han 	出汗	c=1 d=7.84839e-33 t=42928
chu kou 	出口	c=1 d=2.10351e-13 t=42928
chu lai 	出來	c=6 d=4.71628e-12 t=42928
chu le 	出了	c=6 d=3.28876e-06 t=42928
chu le 	除了	c=10 d=1.99473e-06 t=42928
chu le wen ti 	出了問題	c=1 d=1.9488e-26 t=42928
chu li 	處理	c=55 d=3.18349 t=42928
chu li wan 	處理完	c=2 d=1.43304e-27 t=42928
chu qu 	出去	c=7 d=9.49738e-06 t=42928
chu shi hua 	初始化	c=9 d=3.63341e-08 t=42928
chu wen ti 	出問題	c=3 d=3.84155e-48 t=42928
chu xian 	出現	c=19 d=0.917377 t=42928
chu xue 	出血	c=1 d=9.69856e-82 t=42928
chu yi 	除以	c=1 d=6.05235e-64 t=42928
chu yu 	出於	c=1 d=4.45222e-40 t=42928
chu zhi 	處置	c=187 d=3.32923 t=42928
chu zhong 	初衷	c=1 d=1 t=40878
chuan 	串	c=1 d=4.32492e-81 t=42928
chuan 	傳	c=28 d=1.21969e-07 t=42928
chuan 	穿	c=3 d=3.9196e-41 t=42928
chuan chu qu 	傳出去	c=1 d=2.26411e-55 t=42928
chuan da 	傳達	c=1 d=1.38295e-79 t=42928
chuan di 	傳遞	c=3 d=2.58823e-29 t=42928
chuan gei 	傳給	c=1 d=4.79735e-36 t=42928
chuan guo lai 	傳過來	c=10 d=7.32675e-18 t=42928
chuan le 	傳了	c=2 d=4.36694e-37 t=42928
chuan qi lai 	穿起來	c=1 d=4.05921e-41 t=42928
chuan ran bing 	傳染病	c=1 d=7.51174e-76 t=42928
chuan ru 	傳入	c=2 d=3.36388e-07 t=42928
chuan shu 	傳輸	c=1 d=1.71654e-33 t=42928
chuan xia lai 	傳下來	c=1 d=5.3129e-31 t=42928
chuang jian 	創建	c=34 d=1.04434e-18 t=42928
chui chui 	吹吹	c=1 d=1.36505e-14 t=42928
chun 	醇	c=1 d=1.25484e-53 t=42928
chun chang 	春昌	c=2 d=3.25936e-18 t=42928
chun yi 	春意	c=1 d=1.20564e-53 t=42928
ci 	次	c=3 d=5.27562e-07 t=42928
ci 	此	c=1 d=4.22559e-43 t=42928
ci 	詞	c=21 d=0.0010246 t=42928
ci biao 	詞表	c=1 d=1.61212e-30 t=42928
ci dian 	詞典	c=1 d=1.33711e-06 t=42928
ci ku 	詞庫	c=5 d=1.00813e-07 t=42928
ci pan 	磁盤	c=9 d=1.12594 t=42928
ci shu 	次數	c=1 d=6.65686e-37 t=42928
ci zhi 	辭職	c=1 d=2.01712e-49 t=42928
ci zhong 	此種	c=1 d=6.59421e-14 t=42928
cong 	從	c=82 d=0.177879 t=42928
cong er 	從而	c=2 d=2.63105e-28 t=42928
cong he 	從何	c=1 d=1.6244e-31 t=42928
cong he shuo qi 	從何說起	c=1 d=1.58429e-31 t=42928
cong na er 	從哪兒	c=1 d=2.5674e-34 t=42928
cong wo men 	從我們	c=1 d=4.59392e-85 t=42928
cong zhe 	從這	c=1 d=4.02511e-30 t=42928
cong zhong 	從重	c=2 d=0.0784731 t=42928
cui 	催	c=1 d=9.37835e-40 t=42928
cun 	存	c=6 d=1.26229e-05 t=42928
cun 	村	c=1 d=2.75958e-24 t=42928
cun chu 	存儲	c=33 d=0.393701 t=42928
cun fang 	存放	c=2 d=5.25987e-60 t=42928
cun qi lai 	存起來	c=1 d=1.43924e-19 t=42928
cun yi 	存疑	c=2 d=9.92074e-25 t=42928
cun zai 	存在	c=13 d=0.00532682 t=42928
cuo 	撮	c=0 d=2.28725e-58 t=42928
cuo 	錯	c=10 d=1.98413e-05 t=42928
cuo le 	錯了	c=2 d=1.11974e-07 t=42928
cuo wu 	錯誤	c=10 d=0.754052 t=42928
cuo wu chu li 	錯誤處理	c=1 d=2.0224e-21 t=42928
cuo yi dun 	撮一頓	c=1 d=2.29872e-57 t=42928
cuo yi dun 	錯一頓	c=1 d=2.28725e-57 t=42928
da 	噠	c=0 d=2.35691e-58 t=42928
da 	大	c=33 d=0.66034 t=42928
da 	打	c=10 d=8.42203e-10 t=42928
da 	搭	c=1 d=2.88923e-41 t=42928
da 	達	c=1 d=0.000788798 t=42928
da ban nian 	大半年	c=1 d=1.49071e-50 t=42928
da bao 	打包	c=1 d=2.05284e-79 t=42928
da biao 	打標	c=22 d=0.0048759 t=42928
da bing 	大餅	c=1 d=4.32344e-77 t=42928
da bu fen 	大部分	c=2 d=0.0413782 t=42928
da bu kai 	打不開	c=2 d=3.24845e-11 t=42928
da bu liao 	大不了	c=1 d=3.68005e-05 t=42928
da cuo 	打錯	c=0 d=9.13532e-85 t=42928
da cuo zi 	打錯字	c=1 d=9.18111e-84 t=42928
da da 	大大	c=1 d=3.41218e-57 t=42928
da dao 	達到	c=5 d=0.170333 t=42928
da dian hua 	打電話	c=8 d=0.00130703 t=42928
da fa 	大法	c=1 d=1 t=40479
da fa 	打發	c=0 d=4.76191e-38 t=42928
da fa le 	打發了	c=1 d=4.78578e-37 t=42928
da fu 	答覆	c=1 d=1.91803e-74 t=42928
da gai 	大概	c=3 d=1.35078e-08 t=42928
da ge 	大哥	c=1 d=1 t=39938
da ge 	打個	c=1 d=1.65063e-43 t=42928
da gou 	打勾	c=1 d=5.73626e-80 t=42928
da ji yuan 	大紀元	c=1 d=1.69064e-60 t=42928
da jia 	大家	c=27 d=1.41103e-06 t=42928
da jian 	大鍵	c=1 d=2.23465e-48 t=42928
da jian 	搭建	c=2 d=1.76757e-09 t=42928
da kai 	打開	c=6 d=0.00052611 t=42928
da keng 	大坑	c=1 d=2.0998e-51 t=42928
da lan qiu 	打籃球	c=4 d=9.83007e-64 t=42928
da lao 	大佬	c=3 d=1.99711e-20 t=42928
da le 	打了	c=1 d=2.19047e-19 t=42928
da li 	大力	c=1 d=5.41527e-79 t=42928
da liang 	大量	c=4 d=5.47284e-27 t=42928
da mao zi 	大帽子	c=1 d=2.64109e-14 t=42928
da mei ren 	大美人	c=1 d=6.74784e-79 t=42928
da mian ku 	大棉褲	c=1 d=0.0130365 t=42928
da pei 	搭配	c=1 d=1.36989e-85 t=42928
da ping 	大屏	c=1 d=3.61936e-74 t=42928
da rao 	打擾	c=1 d=5.27741e-11 t=42928
da sha 	大廈	c=1 d=2.44011e-24 t=42928
da shen 	大神	c=2 d=1.24071e-08 t=42928
da suan 	打算	c=2 d=1.71893e-20 t=42928
da tong xiao yi 	大同小異	c=1 d=1.9082e-43 t=42928
da xiang 	大象	c=1 d=0.000441647 t=42928
da xiao 	大小	c=3 d=3.44252e-30 t=42928
da xie 	大寫	c=1 d=3.72641e-64 t=42928
da yi 	大姨	c=4 d=6.27298e-32 t=42928
da yi fu 	大姨夫	c=2 d=2.83543e-32 t=42928
da yin 	打印	c=8 d=0.000160856 t=42928
da ying 	答應	c=2 d=1.10623e-70 t=42928
da yu 	大於	c=1 d=2.77538e-68 t=42928
da yue 	大約	c=2 d=1.64469e-30 t=42928
da zi 	打字	c=2 d=2.45735e-48 t=42928
da zui pao 	打嘴炮	c=1 d=2.67345e-69 t=42928
dai 	帶	c=20 d=6.50731e-05 t=42928
dai 	待	c=15 d=0.000433171 t=42928
dai 	貸	c=0 d=2.23382e-74 t=42928
dai biao 	代表	c=1 d=3.34347e-53 t=42928
dai chu zhi 	待處置	c=1 d=1 t=40126
dai da 	代打	c=1 d=2.87981e-32 t=42928
dai fu 	大夫	c=0 d=3.49213e-07 t=42928
dai guo lai 	帶過來	c=1 d=3.06528e-31 t=42928
dai hai zi 	帶孩子	c=1 d=1.7358e-76 t=42928
dai lai 	帶來	c=2 d=7.12255e-09 t=42928
dai li 	代理	c=1 d=0.00112769 t=42928
dai ma 	代碼	c=47 d=9.67601e-06 t=42928
dai ni 	帶你	c=1 d=7.66113e-43 t=42928
dai ni men 	帶你們	c=1 d=4.78822e-43 t=42928
dai shang 	帶上	c=5 d=4.47689e-31 t=42928
dai shen 	待審	c=8 d=3.34084e-36 t=42928
dai shen he 	待審和	c=1 d=1.86489e-67 t=42928
dai shen he 	待審盒	c=1 d=1.87424e-67 t=42928
dai shen he 	待審覈	c=5 d=0.000195226 t=42928
dai ta 	帶他	c=1 d=2.44226e-05 t=42928
dai ta 	帶她	c=1 d=0.000372602 t=42928
dai ta men 	帶他們	c=1 d=2.42365e-62 t=42928
dai wan cheng 	待完成	c=1 d=9.26076e-68 t=42928
dai zi 	袋子	c=1 d=3.49558e-47 t=42928
dan 	但	c=100 d=0.525615 t=42928
dan 	單	c=2 d=2.72263e-38 t=42928
dan chun 	單純	c=2 d=4.24288e-09 t=42928
dan dao 	單刀	c=1 d=1.6118e-57 t=42928
dan du 	單獨	c=7 d=6.84444e-11 t=42928
dan ge 	單個	c=1 d=1.73255e-54 t=42928
dan ji 	單擊	c=1 d=1.86743e-83 t=42928
dan liao 	單聊	c=1 d=1 t=41777
dan shi 	但是	c=1 d=2.59232e-30 t=42928
dan tiao 	單條	c=25 d=1.16964e-19 t=42928
dan tiao ming zhong 	單條命中	c=2 d=6.84677e-15 t=42928
dan wei 	單位	c=5 d=1.08605e-22 t=42928
dan wo jue de 	但我覺得	c=1 d=9.56943e-42 t=42928
dan wu 	耽誤	c=3 d=1.25835e-27 t=42928
dan xin 	擔心	c=1 d=0.0328764 t=42928
dan xing dao 	單行道	c=1 d=4.71388e-06 t=42928
dan xiu 	單休	c=1 d=7.2103e-06 t=42928
dan xuan 	單選	c=2 d=2.63829e-49 t=42928
dan ye 	單頁	c=1 d=4.01677e-35 t=42928
dan yuan 	但願	c=1 d=1.1812e-18 t=42928
dan yuan 	單元	c=2 d=1.17531e-18 t=42928
dan yuan ce shi 	單元測試	c=1 d=1 t=41919
dan zi 	單子	c=2 d=2.65509e-23 t=42928
dang 	當	c=5 d=3.46996e-07 t=42928
dang 	黨	c=1 d=9.14242e-06 t=42928
dang bu zhu 	擋不住	c=1 d=8.70959e-52 t=42928
dang mian 	當面	c=7 d=2.52969e-07 t=42928
dang mian dui 	當面對	c=1 d=4.47697e-17 t=42928
dang qian 	當前	c=16 d=8.65313e-07 t=42928
dang ran 	當然	c=4 d=0.00024109 t=42928
dang shi 	當時	c=17 d=0.0850088 t=42928
dang shi ren 	當事人	c=1 d=1.7539e-51 t=42928
dang tian 	當天	c=3 d=1.70832e-06 t=42928
dang yi sheng 	當醫生	c=1 d=3.11276e-06 t=42928
dang zuo 	當作	c=4 d=5.42711e-08 t=42928
dao 	倒	c=1 d=1.47412e-36 t=42928
dao 	到	c=133 d=1.14398 t=42928
dao bi 	倒閉	c=1 d=6.20702e-08 t=42928
dao chu 	到處	c=1 d=2.42703e-49 t=42928
dao chu 	導出	c=1 d=2.00951e-34 t=42928
dao di 	到底	c=7 d=0.0022206 t=42928
dao gong si 	到公司	c=1 d=5.58132e-52 t=42928
dao hang 	導航	c=1 d=5.92462e-20 t=42928
dao hang lan 	導航藍	c=1 d=5.95432e-19 t=42928
dao jia 	到家	c=2 d=0.895834 t=42928
dao le 	到了	c=4 d=7.53808e-29 t=42928
dao shi 	倒是	c=3 d=8.97818e-27 t=42928
dao shi 	到時	c=2 d=7.02846e-29 t=42928
dao shi hou 	到時候	c=8 d=1.91652e-06 t=42928
dao xiang 	導向	c=1 d=1.09918e-83 t=42928
dao xiu xi qu 	到休息區	c=1 d=8.72916e-49 t=42928
dao zhi 	導致	c=28 d=0.0405589 t=42928
de 	地	c=1 d=1 t=39628
de 	得	c=2 d=0.000403635 t=42928
de 	的	c=2901 d=13.2555 t=42928
de ba 	的吧	c=1 d=3.10886e-50 t=42928
de bu chang shi 	得不償失	c=1 d=1.10897e-11 t=42928
de chu lai 	的出來	c=1 d=2.56557e-55 t=42928
de dao 	得到	c=7 d=0.075774 t=42928
de hong 	德弘	c=6 d=8.75032e-11 t=42928
de hua 	的話	c=20 d=0.000268039 t=42928
de jiao hu 	的交互	c=1 d=1 t=42282
de le 	得了	c=2 d=7.31133e-52 t=42928
de na tiao 	的那條	c=1 d=8.53277e-46 t=42928
de ren 	的人	c=1 d=5.39577e-66 t=42928
de shang zai 	的尚在	c=1 d=1.01823e-36 t=42928
de shi 	的事	c=1 d=0.017953 t=42928
de shi hou 	的時候	c=16 d=0.0115653 t=42928
de yi si 	的意思	c=1 d=9.42406e-09 t=42928
dei 	得	c=71 d=6.47485e-05 t=42928
dei kan 	得看	c=1 d=3.72008e-44 t=42928
dei le 	得了	c=1 d=1.77732e-60 t=42928
deng 	登	c=3 d=0.000315111 t=42928
deng 	等	c=36 d=1.0834 t=42928
deng 	鄧	c=0 d=7.70764e-27 t=42928
deng bu liao 	登不了	c=1 d=0.00316691 t=42928
deng bu shang 	登不上	c=1 d=3.68306e-44 t=42928
deng dai 	等待	c=3 d=0.158025 t=42928
deng dao 	等到	c=3 d=9.67424e-23 t=42928
deng ji 	等級	c=8 d=2.35491e-30 t=42928
deng le 	登了	c=1 d=3.291e-14 t=42928
deng le 	等了	c=1 d=1.48328e-50 t=42928
deng lu 	登錄	c=18 d=3.3672e-12 t=42928
deng ni 	等你	c=3 d=0.0021985 t=42928
deng tong 	等同	c=1 d=1.14015e-43 t=42928
deng wo 	等我	c=1 d=1.5988e-50 t=42928
deng xian jie 	鄧先傑	c=1 d=7.74628e-26 t=42928
deng yi hui er 	等一會兒	c=0 d=2.94649e-67 t=42928
deng yi hui er ba 	等一會兒吧	c=1 d=2.96126e-66 t=42928
deng yi xia 	等一下	c=2 d=1.51273e-46 t=42928
deng yu 	等於	c=7 d=2.26618e-07 t=42928
deng zhe 	等着	c=1 d=1.4856e-39 t=42928
di 	低	c=1 d=1 t=41573
di 	地	c=0 d=6.64781e-22 t=42928
di bu 	地步	c=1 d=3.09062e-69 t=42928
di bu 	底部	c=1 d=3.0752e-69 t=42928
di ceng 	底層	c=4 d=1.04799e-10 t=42928
di di 	弟弟	c=1 d=1 t=39935
di er 	第二	c=0 d=0.1 t=41249
di er ban 	第二版	c=1 d=1.48742e-24 t=42928
di er dian 	第二點	c=2 d=1.88525e-77 t=42928
di er ge 	第二個	c=1 d=3.94755e-08 t=42928
di er ge yue 	第二個月	c=1 d=1 t=39980
di er lie 	第二列	c=1 d=1 t=41250
di er tian 	第二天	c=1 d=6.0889e-76 t=42928
di fang 	地方	c=27 d=0.268533 t=42928
di ka nong 	迪卡儂	c=1 d=7.34774e-81 t=42928
di ku 	地庫	c=2 d=4.49453e-63 t=42928
di li wei zhi 	地理位置	c=1 d=1 t=41469
di san fang 	第三方	c=75 d=0.0023935 t=42928
di san fang shu ju yuan 	第三方數據源	c=1 d=3.54588e-68 t=42928
di xiao 	低效	c=1 d=1 t=42875
di yi 	第一	c=2 d=2.2263e-05 t=42928
di yi ban 	第一版	c=1 d=1.23154e-09 t=42928
di yi bu 	第一步	c=1 d=1.06673e-54 t=42928
di yi ceng 	地一層	c=1 d=6.68113e-21 t=42928
di yi ci 	第一次	c=3 d=1.8123e-54 t=42928
di yi dian 	第一點	c=1 d=1.12973e-82 t=42928
di yi ge 	第一個	c=8 d=0.666977 t=42928
di yi hang 	第一行	c=1 d=6.39823e-12 t=42928
di yi lie 	第一列	c=1 d=1 t=41247
di yi tian 	第一天	c=1 d=3.4746e-35 t=42928
di yi tiao 	第一條	c=1 d=1.44523e-09 t=42928
di yi wei 	第一位	c=1 d=7.58723e-76 t=42928
di yu 	地域	c=3 d=2.44351e-11 t=42928
di zhi 	地址	c=13 d=0.00522135 t=42928
di zhi lan 	地址欄	c=1 d=7.6679e-24 t=42928
dian 	店	c=1 d=3.40105e-48 t=42928
dian 	電	c=2 d=2.70589e-25 t=42928
dian 	點	c=29 d=0.0134349 t=42928
dian chi 	電池	c=2 d=3.16357e-20 t=42928
dian duo 	掂掇	c=1 d=0.99005 t=42928
dian er 	點兒	c=0 d=4.19808e-26 t=42928
dian gao 	墊高	c=1 d=1 t=41014
dian hua 	電話	c=5 d=1.56911e-06 t=42928
dian ji 	點擊	c=1 d=2.64199e-18 t=42928
dian kai 	點開	c=1 d=7.96022e-23 t=42928
dian le 	點了	c=2 d=4.32589e-13 t=42928
dian liang 	電量	c=1 d=1.69848e-85 t=42928
dian liang 	點亮	c=1 d=1.69001e-85 t=42928
dian nao 	電腦	c=5 d=0.000272578 t=42928
dian nao shang 	電腦上	c=1 d=0.00273944 t=42928
dian ping che 	電瓶車	c=3 d=3.11647e-20 t=42928
dian shang 	墊上	c=1 d=1 t=40177
dian shi 	電視	c=1 d=1 t=40304
dian shui 	點水	c=0 d=1.76203e-77 t=42928
dian xing 	典型	c=2 d=2.41e-25 t=42928
diao 	刁	c=1 d=3.33552e-25 t=42928
diao 	掉	c=15 d=0.574193 t=42928
diao 	調	c=30 d=0.247833 t=42928
diao yan 	調研	c=5 d=0.866509 t=42928
diao yong 	調用	c=43 d=0.593636 t=42928
diao yong liang 	調用量	c=3 d=4.305e-49 t=42928
die dai 	迭代	c=1 d=1.93171e-40 t=42928
ding 	定	c=21 d=2.8037e-10 t=42928
ding 	頂	c=1 d=3.13593e-05 t=42928
ding bu 	頂部	c=1 d=1.62158e-40 t=42928
ding ding 	釘釘	c=2 d=1.3923e-46 t=42928
ding duo 	頂多	c=1 d=3.32181e-06 t=42928
ding hao 	定好	c=2 d=6.86566e-18 t=42928
ding jian 	頂尖	c=1 d=2.78852e-06 t=42928
ding pei 	頂配	c=1 d=1 t=41693
ding shi 	定時	c=9 d=2.9983e-22 t=42928
ding wei 	定位	c=6 d=0.0146986 t=42928
ding yi 	定義	c=10 d=1.71961e-24 t=42928
ding yi hao 	定義好	c=1 d=3.43757e-56 t=42928
ding zhe 	盯着	c=2 d=9.00311e-59 t=42928
ding zhi 	定製	c=13 d=3.91622e-17 t=42928
diu 	丟	c=4 d=0.216838 t=42928
diu le 	丟了	c=1 d=2.38011e-84 t=42928
diu shi 	丟失	c=2 d=0.733447 t=42928
diu shu ju 	丟數據	c=3 d=0.148823 t=42928
dong 	凍	c=1 d=1 t=40117
dong 	動	c=4 d=3.192e-37 t=42928
dong 	懂	c=1 d=2.00473e-07 t=42928
dong che 	動車	c=0 d=3.89395e-53 t=42928
dong ci 	動詞	c=1 d=1.31537e-19 t=42928
dong de 	懂得	c=1 d=1.37582e-77 t=42928
dong de 	懂的	c=0 d=7.3153e-30 t=42928
dong de ren 	懂的人	c=1 d=7.35197e-29 t=42928
dong hua 	動畫	c=0 d=3.77835e-22 t=42928
dong jie 	凍結	c=3 d=1.3146e-41 t=42928
dong tai 	動態	c=25 d=0.00183086 t=42928
dong tian 	冬天	c=1 d=5.25629e-52 t=42928
dong xi 	東西	c=41 d=1.96546 t=42928
dong xi hai 	東西還	c=1 d=1.04308e-55 t=42928
